Name,Set,Types,Cost,Text,Actions / Villagers,Cards,Buys,Coins / Coffers,Trash / Return,Exile,Junk,Gain,Victory Points
Cellar ,Base ,Action,,+1 Action,1,"-X, +X",,,,,,,
,,,,"Discard any number of cards, then draw that many.",,,,,,,,,
Chapel ,Base ,Action,,Trash up to 4 cards from your hand.,,,,,0-4,,,,
Moat ,Base ,Action - Reaction,,+2 Cards,,2,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When another player plays an Attack card, you may first reveal this from your hand, to be unaffected by it.",,,,,,,,,
Chancellor ,"Base, 1E ",Action,,+,,,,+,,,,,
,,,,You may immediately put your deck into your discard pile.,,,,,,,,,
Harbinger ,"Base, 2E ",Action,,+1 Card,1,1,,,,,,,
,,,,+1 Action,,,,,,,,,
,,,,Look through your discard pile. You may put a card from it onto your deck.,,,,,,,,,
Merchant ,"Base, 2E ",Action,,+1 Card,1,1,, !+,,,,,
,,,,+1 Action,,,,,,,,,
,,,,"The first time you play a Silver this turn, +.",,,,,,,,,
Vassal ,"Base, 2E ",Action,,+, !P1?,,,+,,,,,
,,,,"Discard the top card of your deck. If it's an Action card, you may play it.",,,,,,,,,
Village ,Base ,Action,,+1 Card,2,1,,,,,,,
,,,,+2 Actions,,,,,,,,,
Woodcutter ,"Base, 1E ",Action,,+1 Buy,,,1,+,,,,,
,,,,+,,,,,,,,,
Workshop ,Base ,Action,,Gain a card costing up to .,,,,,,,,1,
Bureaucrat ,Base ,Action - Attack,,Gain a Silver onto your deck. Each other player reveals a Victory card from their hand and puts it onto their deck (or reveals a hand with no Victory cards).,,,,,,,,1,
Feast ,"Base, 1E ",Action,,Trash this card. Gain a card costing up to .,,,,,Self,,,1,
Gardens ,Base ,Victory,,Worth 1   per 10 cards you have (round down). ,,,,,,,,,X   
Militia ,Base ,Action - Attack,,+,,,,+,,,,,
,,,,Each other player discards down to 3 cards in hand.,,,,,,,,,
Moneylender ,Base ,Action,,You may trash a Copper from your hand for +.,,,, !+,1?,,,,
Poacher ,"Base, 2E ",Action,,+1 Card,1,"+1, -X",,+,,,,,
,,,,+1 Action,,,,,,,,,
,,,,+,,,,,,,,,
,,,,Discard a card per empty Supply pile.,,,,,,,,,
